"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold2298-size12895-augustus-gene-0.5-mRNA-1","12335","12335",0.072,646.8,157.2,0.0095,0.0011,0.1182,0.7,18.6
"augustus_masked-scaffold855-size58795-abinit-gene-0.4-mRNA-1","12338","12338",0.149,522.3,137.7,0.0542,0.0107,0.1978,5.6,27.2
"augustus_masked-scaffold855-size58795-abinit-gene-0.5-mRNA-1","12341","12341",0.097,512.4,111.6,0.0529,0.0077,0.1454,3.9,16.2
"augustus_masked-scaffold855-size58795-abinit-gene-0.9-mRNA-1","12342","12342",0.024,688.3,166.7,0.1067,0.003,0.0281,2.1,4.7
"maker-scaffold855-size58795-snap-gene-0.32-mRNA-1","12344","12344",0.074,1869.2,647.8,0.0618,0.0051,0.0818,9.5,53
"maker-scaffold855-size58795-snap-gene-0.34-mRNA-1","12346","12346",0.128,142.5,40.5,0.1686,0.0204,0.121,2.9,4.9
"snap_masked-scaffold855-size58795-abinit-gene-0.13-mRNA-1","12347","12347",0.075,928.9,283.1,0.1308,0.0097,0.0745,9.1,21.1
"maker-scaffold670-size63018-augustus-gene-0.15-mRNA-1","12350","12350",0.1,1098.8,341.2,0.1007,0.0107,0.1064,11.8,36.3
"maker-scaffold670-size63018-snap-gene-0.21-mRNA-1","12352","12352",0.033,604.2,151.8,0.1008,0.0039,0.039,2.4,5.9
"maker-scaffold670-size63018-augustus-gene-0.17-mRNA-1","12354","12354",0.105,226.1,58.9,0.0765,0.01,0.131,2.3,7.7
"maker-scaffold1341-size51629-snap-gene-0.19-mRNA-1","12359","12359",0.112,1217,406,0.0537,0.0069,0.128,8.4,52
"augustus_masked-scaffold31-size135308-abinit-gene-0.0-mRNA-1","12362","12362",0.073,1294.9,313.1,0.0476,0.005,0.1047,6.5,32.8
"maker-scaffold31-size135308-augustus-gene-0.19-mRNA-1","12364","12364",0.081,816.6,200.4,0.061,0.0067,0.1101,5.5,22.1
"maker-scaffold31-size135308-augustus-gene-0.20-mRNA-1","12365","12365",0.037,643,149,0.051,0.0028,0.0544,1.8,8.1
"maker-scaffold5277-size9586-snap-gene-0.1-mRNA-1","12367","12367",0.126,675.8,191.2,0.0518,0.0084,0.1611,5.6,30.8
"augustus_masked-scaffold3402-size8598-abinit-gene-0.1-mRNA-1","12371","12371",0.068,259.3,85.7,0.0983,0.0069,0.0699,1.8,6
"maker-scaffold1881-size49675-augustus-gene-0.9-mRNA-1","12376","12376",0.087,1630.7,523.3,0.1136,0.01,0.0881,16.3,46.1
"augustus_masked-scaffold1881-size49675-abinit-gene-0.0-mRNA-1","12377","12377",0.077,1235.5,288.5,0.0562,0.0061,0.1093,7.6,31.5
"maker-scaffold1881-size49675-augustus-gene-0.10-mRNA-1","12378","12378",0.071,514.8,199.2,0.0987,0.0067,0.0679,3.5,13.5
"augustus_masked-scaffold410-size62566-abinit-gene-0.3-mRNA-1","12384","12384",0.092,272.6,102.4,0.0379,0.0039,0.1018,1.1,10.4
"augustus_masked-scaffold410-size62566-abinit-gene-0.2-mRNA-1","12388","12388",0.18,1159,434,0.1769,0.0264,0.1495,30.6,64.9
"maker-scaffold410-size62566-augustus-gene-0.17-mRNA-1","12389","12389",0.028,972.1,311.9,0.0107,4e-04,0.0376,0.4,11.7
"maker-scaffold410-size62566-augustus-gene-0.19-mRNA-1","12390","12390",0.096,1542.9,524.1,0.0892,0.0089,0.1,13.8,52.4
"maker-scaffold1469-size19479-augustus-gene-0.5-mRNA-1","12392","12392",0.126,538.5,178.5,0.1061,0.0136,0.1282,7.3,22.9
"snap_masked-scaffold1845-size61213-abinit-gene-0.6-mRNA-1","12394","12394",0.085,149.8,36.2,0.1688,0.0145,0.0861,2.2,3.1
"maker-scaffold1845-size61213-augustus-gene-0.12-mRNA-1","12397","12397",0.083,1273.9,394.1,0.0894,0.0082,0.0913,10.4,36
"augustus_masked-scaffold821-size66429-abinit-gene-0.0-mRNA-1","12398","12398",0.077,579.1,173.9,0.1014,0.0085,0.0835,4.9,14.5
"augustus_masked-scaffold494-size60506-abinit-gene-0.2-mRNA-1","12407","12407",0.071,886.6,235.4,0.0347,0.0034,0.0992,3.1,23.4
"maker-scaffold494-size60506-augustus-gene-0.14-mRNA-1","12408","12408",0.246,107.5,36.5,0.1296,0.0304,0.2346,3.3,8.6
"maker-scaffold494-size60506-snap-gene-0.20-mRNA-1","12409","12409",0.051,646.5,196.5,0.0958,0.0053,0.0552,3.4,10.9
"maker-scaffold1336-size18265-augustus-gene-0.7-mRNA-1","12412","12412",0.085,908.4,330.6,0.018,0.0018,0.1013,1.7,33.5
"maker-scaffold1094-size18205-augustus-gene-0.6-mRNA-1","12415","12415",0.075,2866.9,1006.1,0.0985,0.0074,0.0751,21.2,75.5
"maker-scaffold1094-size18205-snap-gene-0.11-mRNA-1","12416","12416",0.126,144.1,50.9,0.0717,0.0096,0.1338,1.4,6.8
"augustus_masked-scaffold28573-size464-abinit-gene-0.0-mRNA-1","12421","12421",0.071,217.2,37.8,0.0708,0.008,0.1127,1.7,4.3
"snap_masked-scaffold603-size57835-abinit-gene-0.5-mRNA-1","12426","12426",0.087,773.4,372.6,0.3915,0.0192,0.0491,14.9,18.3
"maker-scaffold603-size57835-augustus-gene-0.12-mRNA-1","12427","12427",0.077,1054.7,325.3,0.0529,0.0049,0.0924,5.2,30.1
"maker-scaffold603-size57835-snap-gene-0.16-mRNA-1","12428","12428",0.053,1897.8,646.2,0.1496,0.0072,0.0484,13.7,31.3
"maker-scaffold109-size99360-snap-gene-0.13-mRNA-1","12432","12432",0.106,723.9,224.1,0.0729,0.0088,0.1207,6.4,27
"maker-scaffold109-size99360-augustus-gene-0.10-mRNA-1","12438","12438",0.125,189.2,62.8,0.1387,0.0163,0.1178,3.1,7.4
"augustus_masked-scaffold2585-size8132-abinit-gene-0.1-mRNA-1","12439","12439",0.046,1234,317,0.0482,0.003,0.0626,3.7,19.9
"maker-scaffold2585-size8132-snap-gene-0.12-mRNA-1","12441","12441",0.157,722.4,228.6,0.1285,0.0199,0.1546,14.3,35.3
"maker-scaffold2585-size8132-augustus-gene-0.8-mRNA-1","12442","12442",0.087,248.4,75.6,1e-04,0,0.1236,0,9.3
"maker-scaffold2871-size25617-snap-gene-0.8-mRNA-1","12445","12445",0.146,610.8,148.2,0.0958,0.0171,0.1789,10.5,26.5
"maker-scaffold13-size125346-augustus-gene-0.40-mRNA-1","12454","12454",0.101,478.5,100.5,0.0376,0.0062,0.1641,3,16.5
"maker-scaffold13-size125346-augustus-gene-0.46-mRNA-1","12455","12455",0.09,961,332,0.0994,0.009,0.0906,8.7,30.1
"maker-scaffold13-size125346-augustus-gene-0.44-mRNA-1","12456","12456",0.085,992.4,249.6,0.0213,0.0028,0.1302,2.7,32.5
"maker-scaffold13-size125346-snap-gene-0.65-mRNA-1","12457","12457",0.081,2985.2,980.8,0.0351,0.0035,0.099,10.4,97.1
"maker-scaffold13-size125346-augustus-gene-0.43-mRNA-1","12458","12458",0.096,380,103,0.135,0.0135,0.1001,5.1,10.3
"augustus_masked-scaffold13-size125346-abinit-gene-0.5-mRNA-1","12459","12459",0.102,1111.2,307.8,0.0393,0.0054,0.1369,6,42.1
"snap_masked-scaffold13-size125346-abinit-gene-0.22-mRNA-1","12460","12460",0.122,1783.9,529.1,0.0818,0.0114,0.1395,20.3,73.8
"maker-scaffold13-size125346-snap-gene-0.66-mRNA-1","12461","12461",0.096,469.6,148.4,0.1135,0.0111,0.0977,5.2,14.5
"augustus_masked-scaffold13-size125346-abinit-gene-0.13-mRNA-1","12462","12462",0.095,1566.2,386.8,0.0142,0.0022,0.1511,3.4,58.4
"snap_masked-scaffold13-size125346-abinit-gene-0.25-mRNA-1","12464","12464",0.104,1183.7,379.3,0.0802,0.0092,0.1143,10.8,43.3
"snap_masked-scaffold13-size125346-abinit-gene-0.34-mRNA-1","12465","12465",0.118,195.5,65.5,0.0107,0.0016,0.1519,0.3,9.9
"maker-scaffold13-size125346-augustus-gene-0.39-mRNA-1","12466","12466",0.052,270.6,65.4,0.0471,0.0035,0.0749,1,4.9
"augustus_masked-scaffold13-size125346-abinit-gene-0.6-mRNA-1","12468","12468",0.091,811.5,145.5,0.0337,0.0056,0.1674,4.6,24.4
"augustus_masked-scaffold13-size125346-abinit-gene-0.2-mRNA-1","12470","12470",0.1,852.6,173.4,0.043,0.007,0.1629,6,28.3
"augustus_masked-scaffold13-size125346-abinit-gene-0.14-mRNA-1","12471","12471",0.068,3329,979,0.033,0.003,0.0902,9.9,88.3
"augustus_masked-scaffold13-size125346-abinit-gene-0.16-mRNA-1","12474","12474",0.115,102.2,35.8,0.0403,0.0053,0.1325,0.5,4.7
"maker-scaffold13-size125346-augustus-gene-0.50-mRNA-1","12475","12475",0.071,2093.2,687.8,0.0115,0.0011,0.0924,2.2,63.6
"augustus_masked-scaffold13-size125346-abinit-gene-0.11-mRNA-1","12476","12476",0.199,200.3,78.7,0.0275,0.006,0.2198,1.2,17.3
"maker-scaffold13-size125346-augustus-gene-1.13-mRNA-1","12477","12477",0.046,1616.3,540.7,0.0277,0.0016,0.0568,2.5,30.7
"maker-scaffold13-size125346-augustus-gene-1.14-mRNA-1","12478","12478",0.123,914.8,300.2,0.0206,0.0032,0.1566,2.9,47
"augustus_masked-scaffold13-size125346-abinit-gene-1.0-mRNA-1","12480","12480",0.08,925.5,277.5,0.0574,0.0056,0.0974,5.2,27
"maker-scaffold13-size125346-augustus-gene-1.17-mRNA-1","12481","12481",0.091,701,178,0.0378,0.0049,0.1307,3.5,23.3
"augustus_masked-scaffold13-size125346-abinit-gene-1.2-mRNA-1","12482","12482",0.116,1442.4,516.6,0.0424,0.0056,0.1312,8,67.8
"augustus_masked-scaffold13-size125346-abinit-gene-1.4-mRNA-1","12483","12483",0.097,760.7,259.3,0.148,0.0132,0.0891,10,23.1
"maker-scaffold1492-size36886-snap-gene-0.6-mRNA-1","12485","12485",0.027,600.3,152.7,0.0848,0.0028,0.0331,1.7,5.1
"maker-scaffold472-size153788-snap-gene-0.44-mRNA-1","12487","12487",0.128,4136,1270,0.0842,0.012,0.1427,49.7,181.2
"snap_masked-scaffold472-size153788-abinit-gene-0.18-mRNA-1","12488","12488",0.112,905.3,264.7,0.1183,0.0139,0.1173,12.6,31
"augustus_masked-scaffold472-size153788-abinit-gene-0.10-mRNA-1","12491","12491",0.075,1400.3,453.7,0.0384,0.0035,0.0919,4.9,41.7
"maker-scaffold472-size153788-augustus-gene-0.30-mRNA-1","12492","12492",0.045,807.6,182.4,0.0497,0.0033,0.0662,2.7,12.1
"snap_masked-scaffold472-size153788-abinit-gene-0.17-mRNA-1","12493","12493",0.107,397.1,103.9,0.0802,0.0106,0.1316,4.2,13.7
"augustus_masked-scaffold472-size153788-abinit-gene-0.2-mRNA-1","12494","12494",0.247,312.2,83.8,0.0685,0.0213,0.3104,6.6,26
"maker-scaffold472-size153788-snap-gene-0.41-mRNA-1","12495","12495",0.164,479.4,114.6,0.0075,0.002,0.2745,1,31.5
"augustus_masked-scaffold472-size153788-abinit-gene-0.3-mRNA-1","12496","12496",0.104,1073.8,279.2,0.0468,0.0067,0.1424,7.2,39.8
"snap_masked-scaffold472-size153788-abinit-gene-0.19-mRNA-1","12498","12498",0.103,655,209,0.0033,5e-04,0.1408,0.3,29.4
"maker-scaffold472-size153788-snap-gene-0.50-mRNA-1","12500","12500",0.024,583.1,172.9,0.0411,0.0013,0.0311,0.7,5.4
"maker-scaffold472-size153788-snap-gene-0.49-mRNA-1","12501","12501",0.082,4565.5,1044.5,0.0303,0.0039,0.1295,17.9,135.3
"maker-scaffold472-size153788-snap-gene-1.25-mRNA-1","12502","12502",0.059,685.5,229.5,0.1033,0.0061,0.0594,4.2,13.6
"maker-scaffold472-size153788-augustus-gene-1.18-mRNA-1","12503","12503",0.061,870.8,275.2,0.0222,0.0018,0.0796,1.5,21.9
"maker-scaffold472-size153788-augustus-gene-1.23-mRNA-1","12508","12508",0.116,3715.6,982.4,0.0513,0.008,0.155,29.6,152.3
"maker-scaffold472-size153788-snap-gene-1.30-mRNA-1","12509","12509",0.086,1250.1,345.9,0.0788,0.0081,0.1034,10.2,35.8
"maker-scaffold248-size129421-augustus-gene-0.20-mRNA-1","12512","12512",0.064,2633.3,726.7,0.0423,0.0036,0.0853,9.5,62
"maker-scaffold248-size129421-augustus-gene-0.17-mRNA-1","12513","12513",0.078,343.1,73.9,0.0442,0.0054,0.122,1.9,9
"maker-scaffold248-size129421-snap-gene-0.25-mRNA-1","12515","12515",0.047,604.1,229.9,0.0515,0.0026,0.0505,1.6,11.6
"augustus_masked-scaffold248-size129421-abinit-gene-0.3-mRNA-1","12518","12518",0.04,851.9,291.1,0.0376,0.0018,0.0475,1.5,13.8
"maker-scaffold248-size129421-augustus-gene-1.20-mRNA-1","12521","12521",0.086,2545.9,823.1,0.1821,0.0137,0.0751,34.8,61.8
"maker-scaffold248-size129421-augustus-gene-1.21-mRNA-1","12522","12522",0.178,1522.4,406.6,0.1724,0.0295,0.171,44.9,69.5
"maker-scaffold248-size129421-augustus-gene-1.22-mRNA-1","12523","12523",0.074,1487.7,393.3,0.012,0.0014,0.1131,2,44.5
"maker-scaffold248-size129421-snap-gene-1.33-mRNA-1","12524","12524",0.105,1329.9,284.1,0.0213,0.0039,0.1813,5.1,51.5
"maker-scaffold248-size129421-augustus-gene-1.25-mRNA-1","12526","12526",0.085,2624.5,807.5,0.0338,0.0037,0.1088,9.7,87.8
"maker-scaffold1577-size14575-augustus-gene-0.8-mRNA-1","12528","12528",0.087,474.9,140.1,0.0773,0.0078,0.1013,3.7,14.2
"maker-scaffold1577-size14575-snap-gene-0.14-mRNA-1","12531","12531",0.029,939.5,323.5,0.0212,8e-04,0.0357,0.7,11.6
"maker-scaffold2642-size23793-augustus-gene-0.5-mRNA-1","12533","12533",0.153,694.8,229.2,0.1114,0.0172,0.154,11.9,35.3
"maker-scaffold2634-size7971-augustus-gene-0.5-mRNA-1","12537","12537",0.068,366.7,77.3,0.0582,0.006,0.1023,2.2,7.9
"maker-scaffold1661-size29244-snap-gene-0.13-mRNA-1","12539","12539",0.111,1507.3,424.7,0.0973,0.0122,0.1252,18.4,53.2
"augustus_masked-scaffold1661-size29244-abinit-gene-0.3-mRNA-1","12540","12540",0.093,1257.7,302.3,0.0307,0.0044,0.1422,5.5,43
"maker-scaffold1661-size29244-augustus-gene-0.11-mRNA-1","12541","12541",0.102,2434,623,0.1071,0.0125,0.1171,30.5,73
"maker-scaffold2226-size31768-snap-gene-0.10-mRNA-1","12544","12544",0.106,278.8,90.2,0.068,0.0081,0.1191,2.3,10.7
"maker-scaffold2226-size31768-snap-gene-0.12-mRNA-1","12545","12545",0.012,549.1,158.9,0.008,1e-04,0.0173,0.1,2.7
"maker-scaffold2628-size12865-augustus-gene-0.3-mRNA-1","12546","12546",0.041,1163.6,312.4,0.0215,0.0013,0.0601,1.5,18.8
"maker-scaffold885-size65980-augustus-gene-0.25-mRNA-1","12551","12551",0.107,216.3,50.7,0.0064,0.0012,0.1832,0.3,9.3
"maker-scaffold885-size65980-augustus-gene-0.27-mRNA-1","12552","12552",0.047,1276.4,310.6,0.0458,0.0031,0.0673,3.9,20.9
"maker-scaffold885-size65980-snap-gene-0.34-mRNA-1","12554","12554",0.07,2745.7,830.3,0.0354,0.0032,0.0903,8.8,75
"snap_masked-scaffold885-size65980-abinit-gene-0.15-mRNA-1","12555","12555",0.061,1368.5,350.5,0.0304,0.0027,0.0893,3.7,31.3
"maker-scaffold885-size65980-snap-gene-0.39-mRNA-1","12557","12557",0.155,316.8,85.2,0.1019,0.018,0.1767,5.7,15
"maker-scaffold885-size65980-augustus-gene-0.32-mRNA-1","12560","12560",0.06,563.9,153.1,0.0681,0.0051,0.0748,2.9,11.4
"maker-scaffold1755-size12457-snap-gene-0.4-mRNA-1","12561","12561",0.057,1053.2,311.8,0.037,0.0027,0.0739,2.9,23
"augustus_masked-scaffold32811-size416-abinit-gene-0.0-mRNA-1","12565","12565",0.152,226,68,0.0023,5e-04,0.2171,0.1,14.8
"maker-scaffold1459-size29684-augustus-gene-0.7-mRNA-1","12569","12569",0.062,1593.3,362.7,0.0525,0.0047,0.0899,7.5,32.6
"augustus_masked-scaffold330-size56853-abinit-gene-0.3-mRNA-1","12570","12570",0.147,260.6,72.4,0.115,0.0184,0.1597,4.8,11.6
"maker-scaffold330-size56853-augustus-gene-0.9-mRNA-1","12572","12572",0.014,691.5,229.5,0.1391,0.0018,0.0128,1.2,2.9
"maker-scaffold1294-size58738-augustus-gene-0.21-mRNA-1","12575","12575",0.045,330.5,101.5,0.0319,0.0018,0.0576,0.6,5.8
"maker-scaffold1294-size58738-augustus-gene-0.20-mRNA-1","12577","12577",0.015,729.2,167.8,0.0368,8e-04,0.0227,0.6,3.8
"maker-scaffold1294-size58738-augustus-gene-0.27-mRNA-1","12579","12579",0.103,1372.7,343.3,0.0337,0.0051,0.1506,7,51.7
"augustus_masked-scaffold1294-size58738-abinit-gene-0.5-mRNA-1","12580","12580",0.109,1152.5,272.5,0.03,0.0051,0.1687,5.8,46
"snap_masked-scaffold1282-size57982-abinit-gene-0.3-mRNA-1","12585","12585",0.071,1096.6,244.4,0.0719,0.007,0.098,7.7,23.9
"maker-scaffold1282-size57982-snap-gene-0.14-mRNA-1","12587","12587",0.045,806.6,204.4,0.0212,0.0014,0.0681,1.2,13.9
"augustus_masked-scaffold1412-size37153-abinit-gene-0.4-mRNA-1","12588","12588",0.085,852.8,236.2,0.0658,0.0069,0.1052,5.9,24.8
"augustus_masked-scaffold1412-size37153-abinit-gene-0.0-mRNA-1","12591","12591",0.118,148.5,61.5,0.1311,0.0134,0.1022,2,6.3
"snap_masked-scaffold703-size24749-abinit-gene-0.8-mRNA-1","12593","12593",0.079,516.5,167.5,0.0645,0.0058,0.09,3,15.1
"maker-scaffold703-size24749-snap-gene-0.16-mRNA-1","12595","12595",0.08,252.9,86.1,0.1146,0.009,0.0787,2.3,6.8
"maker-scaffold703-size24749-augustus-gene-0.15-mRNA-1","12598","12598",0.056,3788.8,1107.2,0.0368,0.0027,0.0733,10.2,81.2
"maker-scaffold999-size30151-snap-gene-0.3-mRNA-1","12601","12601",0.229,512.2,189.8,0.4833,0.0591,0.1223,30.3,23.2
"maker-scaffold2767-size28783-augustus-gene-0.2-mRNA-1","12602","12602",0.067,1251.8,356.2,0.043,0.0038,0.0881,4.7,31.4
"snap_masked-scaffold7860-size1516-abinit-gene-0.1-mRNA-1","12603","12603",0.067,950.9,231.1,0.0385,0.0038,0.0982,3.6,22.7
"maker-scaffold2941-size6921-snap-gene-0.3-mRNA-1","12610","12610",0.086,1389.1,491.9,0.0478,0.0046,0.0965,6.4,47.5
"maker-scaffold632-size51910-snap-gene-0.13-mRNA-1","12615","12615",0.064,717.6,209.4,0.0687,0.0053,0.0764,3.8,16
"augustus_masked-scaffold852-size125918-abinit-gene-0.1-mRNA-1","12617","12617",0.08,593.1,165.9,0.0828,0.0078,0.0941,4.6,15.6
"maker-scaffold852-size125918-augustus-gene-0.12-mRNA-1","12619","12619",0.097,170.9,45.1,0.0943,0.0107,0.1138,1.8,5.1
"maker-scaffold852-size125918-augustus-gene-1.5-mRNA-1","12623","12623",0.046,797.9,288.1,0.0697,0.0034,0.0486,2.7,14
"augustus_masked-scaffold1939-size45852-abinit-gene-0.1-mRNA-1","12625","12625",0.099,757.4,169.6,0.1378,0.0154,0.1116,11.6,18.9
"snap_masked-scaffold912-size23511-abinit-gene-0.5-mRNA-1","12630","12630",0.099,2786.2,702.8,0.0945,0.0112,0.1189,31.3,83.5
"augustus_masked-scaffold27-size146222-abinit-gene-0.1-mRNA-1","12636","12636",0.077,455.5,159.5,0.0821,0.0066,0.0804,3,12.8
"maker-scaffold27-size146222-augustus-gene-1.9-mRNA-1","12637","12637",0.068,557.4,132.6,0.1204,0.0094,0.0778,5.2,10.3
"augustus_masked-scaffold35-size133594-abinit-gene-0.2-mRNA-1","12640","12640",0.069,1799.2,531.8,0.0249,0.0023,0.0935,4.2,49.7
"augustus_masked-scaffold35-size133594-abinit-gene-0.8-mRNA-1","12641","12641",0.047,2106.2,653.8,0.0459,0.0026,0.0574,5.5,37.5
"augustus_masked-scaffold35-size133594-abinit-gene-0.0-mRNA-1","12642","12642",0.083,4541.1,1503.9,0.0508,0.0049,0.0967,22.3,145.4
"augustus_masked-scaffold35-size133594-abinit-gene-0.5-mRNA-1","12644","12644",0.04,752.5,186.5,0.0447,0.0025,0.0564,1.9,10.5
"maker-scaffold35-size133594-snap-gene-0.34-mRNA-1","12645","12645",0.073,560.5,207.5,0.1049,0.0074,0.0704,4.1,14.6
"augustus_masked-scaffold35-size133594-abinit-gene-0.7-mRNA-1","12647","12647",0.25,163.9,64.1,0.0115,0.0033,0.2878,0.5,18.5
"maker-scaffold35-size133594-augustus-gene-1.19-mRNA-1","12652","12652",0.09,1752.3,596.7,0.0816,0.0078,0.0955,13.7,57
"maker-scaffold35-size133594-augustus-gene-1.16-mRNA-1","12654","12654",0.107,1062.8,332.2,0.1051,0.0118,0.1125,12.6,37.4
"maker-scaffold35-size133594-snap-gene-1.27-mRNA-1","12655","12655",0.046,395.6,120.4,0.0352,0.0021,0.059,0.8,7.1
"snap_masked-scaffold35-size133594-abinit-gene-1.15-mRNA-1","12656","12656",0.089,647.6,222.4,0.0228,0.0025,0.1092,1.6,24.3
"maker-scaffold35-size133594-snap-gene-1.30-mRNA-1","12657","12657",0.083,967.1,319.9,0.0704,0.0065,0.0921,6.3,29.4
"maker-scaffold579-size59575-augustus-gene-0.21-mRNA-1","12665","12665",0.091,1770.4,566.6,0.0393,0.0044,0.1109,7.7,62.8
"maker-scaffold579-size59575-snap-gene-0.28-mRNA-1","12666","12666",0.115,668.1,219.9,0.0675,0.0087,0.1288,5.8,28.3
"maker-scaffold579-size59575-snap-gene-0.27-mRNA-1","12667","12667",0.16,115.7,43.3,0.0447,0.0078,0.1746,0.9,7.6
"maker-scaffold579-size59575-snap-gene-0.33-mRNA-1","12670","12670",0.145,402.4,128.6,0.0849,0.0134,0.158,5.4,20.3
"maker-scaffold579-size59575-snap-gene-0.31-mRNA-1","12673","12673",0.155,567.6,182.4,0.0633,0.0112,0.1772,6.4,32.3
"maker-scaffold2423-size15640-snap-gene-0.12-mRNA-1","12676","12676",0.074,1394.4,312.6,0.0538,0.0058,0.1082,8.1,33.8
"augustus_masked-scaffold2423-size15640-abinit-gene-0.2-mRNA-1","12679","12679",0.141,352.7,124.3,0.0567,0.0088,0.1554,3.1,19.3
"maker-scaffold2293-size14198-snap-gene-0.6-mRNA-1","12688","12688",0.103,530.1,105.9,0.0087,0.0017,0.1972,0.9,20.9
"snap_masked-scaffold2293-size14198-abinit-gene-0.2-mRNA-1","12689","12689",0.054,1307.3,342.7,0.0641,0.0045,0.0703,5.9,24.1
"maker-scaffold5194-size4374-snap-gene-0.4-mRNA-1","12691","12691",0.116,956.6,315.4,0.0721,0.0092,0.1275,8.8,40.2
"maker-scaffold3393-size7843-snap-gene-0.1-mRNA-1","12701","12701",0.152,379.1,121.9,0.0869,0.0143,0.1644,5.4,20
"augustus_masked-scaffold4947-size3172-abinit-gene-0.0-mRNA-1","12705","12705",0.092,514.4,88.6,0.0302,0.0053,0.1768,2.7,15.7
"maker-scaffold482-size62691-augustus-gene-0.8-mRNA-1","12706","12706",0.123,1920.2,626.8,0.0865,0.0114,0.1315,21.8,82.5
"maker-scaffold482-size62691-augustus-gene-0.9-mRNA-1","12707","12707",0.067,817.8,274.2,0.0461,0.0036,0.0776,2.9,21.3
"snap_masked-scaffold482-size62691-abinit-gene-0.5-mRNA-1","12708","12708",0.123,1565.7,444.3,0.1044,0.0141,0.1354,22.1,60.2
"maker-scaffold1311-size64646-augustus-gene-0.4-mRNA-1","12710","12710",0.119,686,190,0.0593,0.0089,0.1509,6.1,28.7
"maker-scaffold702-size36983-augustus-gene-0.17-mRNA-1","12712","12712",0.221,990.2,341.8,0.0936,0.0211,0.2257,20.9,77.2
"maker-scaffold702-size36983-snap-gene-0.23-mRNA-1","12713","12713",0.137,356.4,144.6,0.0729,0.0098,0.1342,3.5,19.4
"maker-scaffold702-size36983-augustus-gene-0.18-mRNA-1","12714","12714",0.093,1456.3,424.7,0.0776,0.0084,0.108,12.2,45.9
"maker-scaffold681-size147983-snap-gene-1.24-mRNA-1","12722","12722",0.061,669.8,176.2,0.0403,0.0034,0.0851,2.3,15
"maker-scaffold681-size147983-augustus-gene-1.18-mRNA-1","12723","12723",0.16,1689.3,437.7,0.1164,0.0209,0.1791,35.2,78.4
"maker-scaffold681-size147983-snap-gene-1.21-mRNA-1","12724","12724",0.15,924.9,257.1,0.1062,0.0177,0.1663,16.3,42.8
"augustus_masked-scaffold18-size225254-abinit-gene-0.5-mRNA-1","12727","12727",0.05,727.5,196.5,0.0557,0.0036,0.0644,2.6,12.7
"maker-scaffold18-size225254-snap-gene-0.19-mRNA-1","12728","12728",0.05,4242.1,1160.9,0.0397,0.0027,0.0682,11.5,79.2
"augustus_masked-scaffold18-size225254-abinit-gene-1.1-mRNA-1","12730","12730",0.013,1069.6,271.4,0.0352,7e-04,0.0193,0.7,5.2
"maker-scaffold18-size225254-snap-gene-1.30-mRNA-1","12731","12731",0.036,1167.5,290.5,0.0369,0.0019,0.052,2.2,15.1
"maker-scaffold18-size225254-augustus-gene-2.11-mRNA-1","12738","12738",0.106,1227.1,404.9,0.0728,0.0085,0.1161,10.4,47
"snap_masked-scaffold18-size225254-abinit-gene-2.6-mRNA-1","12739","12739",0.092,1208.6,369.4,0.0786,0.0082,0.104,9.9,38.4
"snap_masked-scaffold18-size225254-abinit-gene-2.5-mRNA-1","12740","12740",0.214,641.5,219.5,0.088,0.0196,0.2223,12.5,48.8
"maker-scaffold315-size219637-snap-gene-1.13-mRNA-1","12744","12744",0.027,1146.7,323.3,0.0252,9e-04,0.0374,1.1,12.1
"augustus_masked-scaffold315-size219637-abinit-gene-2.0-mRNA-1","12745","12745",0.108,216.4,59.6,0.0852,0.0108,0.1273,2.3,7.6
"snap_masked-scaffold825-size23929-abinit-gene-0.3-mRNA-1","12752","12752",0.057,1745.4,438.6,0.039,0.0032,0.0823,5.6,36.1
"maker-scaffold810-size72001-augustus-gene-0.23-mRNA-1","12755","12755",0.099,898.6,307.4,0.0484,0.0055,0.1131,4.9,34.8
"maker-scaffold810-size72001-snap-gene-0.33-mRNA-1","12758","12758",0.101,1075.7,391.3,0.0798,0.0083,0.1038,8.9,40.6
"augustus_masked-scaffold810-size72001-abinit-gene-0.4-mRNA-1","12759","12759",0.12,457.4,148.6,0.0381,0.0056,0.1465,2.6,21.8
"augustus_masked-scaffold810-size72001-abinit-gene-0.8-mRNA-1","12760","12760",0.068,273.4,95.6,0.1549,0.0094,0.0607,2.6,5.8
"maker-scaffold810-size72001-augustus-gene-0.30-mRNA-1","12761","12761",0.091,892.2,280.8,0.0324,0.0037,0.1151,3.3,32.3
"maker-scaffold810-size72001-augustus-gene-0.28-mRNA-1","12762","12762",0.017,655.3,172.7,0.0385,9e-04,0.0232,0.6,4
"maker-scaffold810-size72001-snap-gene-0.35-mRNA-1","12763","12763",0.022,653.4,222.6,0.0113,3e-04,0.0279,0.2,6.2
"maker-scaffold810-size72001-augustus-gene-0.29-mRNA-1","12764","12764",0.081,2043.8,515.2,0.0633,0.0068,0.1078,14,55.5
"snap_masked-scaffold949-size56986-abinit-gene-0.6-mRNA-1","12769","12769",0.026,983.2,267.8,0.0418,0.0015,0.0349,1.4,9.4
"snap_masked-scaffold1228-size62174-abinit-gene-0.5-mRNA-1","12772","12772",0.098,370,98,0.1775,0.0165,0.0931,6.1,9.1
